Name,Position,Base Salary,Roster Bonus,Signing Bonus,Cap Hit
Tavon Young,CB,"$1,000,000",0-,"$2,651,282","$3,651,282 "
Mark Ingram,RB,"$2,000,000",0-,"$1,333,333","$3,333,333 "
Nick Boyle,TE,"$1,000,000",0-,"$2,333,333","$3,333,333 "
Marlon Humphrey,CB,"$1,542,044",0-,"$1,689,087","$3,231,131 "
Patrick Onwuasor,ILB,"$3,095,000",0-,0-,"$3,095,000 "
Michael Pierce,DT,"$3,095,000",0-,0-,"$3,095,000 "
Hayden Hurst,TE,"$981,638",0-,"$1,526,550","$2,508,188 "
Lamar Jackson,QB,"$910,529",0-,"$1,242,117","$2,152,646 "
Alex Lewis,G,"$2,025,000",0-,"$122,975","$2,147,975 "
Marquise Brown,WR,"$495,000",0-,"$1,648,153","$2,143,153 "
Matt Judon,OLB,"$2,025,000",0-,"$63,934","$2,088,934 "
Seth Roberts,WR,"$1,700,000",0-,"$300,000","$2,000,000 "
Justin Bethel,CB,"$1,500,000",0-,"$500,000","$2,000,000 "
Anthony Levine,ILB,"$1,500,000",0-,"$133,334","$1,733,334 "
Tyus Bowser,OLB,"$971,874",0-,"$548,747","$1,520,621 "
Robert Griffin,QB,"$1,000,000",0-,"$500,000","$1,500,000 "
Morgan Cox,LS,"$1,100,000",0-,"$140,000","$1,240,000 "
Shane Ray,OLB,"$1,000,000",0-,"$200,000","$1,200,000 "
Pernell McPhee,OLB,"$930,000",0-,"$100,000","$1,030,000 "
Cyrus Jones,CB,"$996,000",0-,0-,"$996,000 "
Chris Wormley,DT,"$736,000",0-,"$224,660","$960,660 "
Tim Williams,OLB,"$690,000",0-,"$214,170","$904,170 "
Chris Moore,WR,"$720,000",0-,"$149,090","$869,090 "
Orlando Brown,RT,"$627,000",0-,"$216,430","$843,430 "
Mark Andrews,TE,"$624,500",0-,"$209,165","$833,665 "
Willie Henry,DT,"$720,000",0-,"$95,849","$815,849 "
Kenneth Dixon,RB,"$720,000",0-,"$87,391","$807,391 "
Maurice Canady,CB,"$720,000",0-,"$25,089","$745,089 "
Anthony Averett,CB,"$570,000",0-,"$165,249","$735,249 "
Kenny Young,ILB,"$570,000",0-,"$159,976","$729,976 "
Jaylon Ferguson,DE,"$495,000",0-,"$225,827","$720,827 "
Tyler Ervin,RB,"$720,000",0-,0-,"$720,000 "
Chuck Clark,S,"$645,000",0-,"$43,701","$688,701 "
Justice Hill,RB,"$495,000",0-,"$185,414","$680,414 "
Ben Powers,G,"$495,000",0-,"$174,383","$669,383 "
Iman Marshall,CB,"$495,000",0-,"$168,299","$663,299 "
Patrick Ricard,FB,"$645,000",0-,"$2,168","$647,168 "
Michael Floyd,WR,"$930,000",0-,0-,"$645,000 "
Jermaine Eluemunor,G,"$645,000",0-,0-,"$645,000 "
Stanley Jean-Baptiste,CB,"$645,000",0-,0-,"$645,000 "
Matt Skura,C,"$645,000",0-,0-,"$645,000 "
Jaleel Scott,WR,"$495,000",0-,"$145,095","$640,095 "
Jordan Lasley,WR,"$570,000",0-,"$67,169","$637,169 "
Deshon Elliott,S,"$570,000",0-,"$39,448","$609,448 "
Bradley Bozeman,C,"$570,000",0-,"$29,602","$599,602 "
Greg Senat,T,"$570,000",0-,"$29,602","$599,602 "
Zach Sieler,DE,"$570,000",0-,"$20,170","$590,170 "
Chris Board,ILB,"$570,000",0-,"$1,333","$571,333 "
Kaare Vedvik,K,"$570,000",0-,"$1,333","$571,333 "
Gus Edwards,RB,"$570,000",0-,0-,"$570,000 "
Matthew Thomas,LB,"$570,000",0-,0-,"$570,000 "
De’Lance Turner,RB,"$570,000",0-,0-,"$570,000 "
Darrell Williams,T,"$570,000",0-,0-,"$570,000 "
Daylon Mack,DT,"$495,000",0-,"$74,820","$569,820 "
Trace McSorley,QB,"$495,000",0-,"$40,172","$535,172 "
Mike Onuoha,OLB,"$495,000",0-,"$4,000","$499,000 "
Otaro Alaka,ILB,"$495,000",0-,"$3,333","$498,333 "
Antoine Wesley,WR,"$495,000",0-,"$3,333","$498,333 "
Gerald Willis,DT,"$495,000",0-,"$3,333","$498,333 "
Patrick Mekari,G,"$495,000",0-,"$2,666","$497,666 "
Markus Jones,OLB,"$495,000",0-,"$2,000","$497,000 "
E.J. Ejiya,ILB,"$495,000",0-,"$1,666","$496,666 "
Silas Stewart,OLB,"$495,000",0-,"$1,666","$496,666 "
Charles Scarff,TE,"$495,000",0-,"$1,500","$496,500 "
Cole Herdman,TE,"$495,000",0-,"$1,333","$496,333 "
Marcus Applefield,T,"$495,000",0-,"$1,000","$496,000 "
Matthew Orzech,LS,"$495,000",0-,$666,"$495,666 "
Sean Modster,WR,"$495,000",0-,$166,"$495,166 "
Aaron Adeoye,DE,"$495,000",0-,0-,"$495,000 "
Terrell Bonds,CB,"$495,000",0-,0-,"$495,000 "
Randin Crecelius,G,"$495,000",0-,0-,"$495,000 "
Christopher Ezeala,FB,"$495,000",0-,0-,"$495,000 "
Joe Horn,WR,"$495,000",0-,0-,"$495,000 "
Bennett Jackson,SS,"$495,000",0-,0-,"$495,000 "
Alvin Jones,LB,"$495,000",0-,0-,"$495,000 "
R.J. Prince,G,"$495,000",0-,0-,"$495,000 "
Jaylen Smith,WR,"$495,000",0-,0-,"$495,000 "
Patrick Vahe,G,"$495,000",0-,0-,"$495,000 "
Miles Boykin,WR,0-,0-,0-,0- 
Marquise Brown,WR,-,0-,0-,"$2,136,869 "
Jaylon Ferguson,DE,-,0-,0-,"$719,965 "
Miles Boykin,WR,-,0-,0-,"$693,426 "
Justice Hill,RB,-,0-,0-,"$679,707 "
Ben Powers,G,-,0-,0-,"$668,718 "
Iman Marshall,CB,-,0-,0-,"$663,299 "
Daylon Mack,DT,-,0-,0-,"$569,534 "
Trace McSorley,QB,-,0-,0-,"$535,019 "
Joe Flacco,QB,-,0-,0-,"$16,000,000 "
Michael Crabtree,WR,-,0-,0-,"$4,666,668 "
Eric Weddle,FS,-,0-,0-,"$1,750,000 "
Kamalei Correa,ILB,-,0-,0-,"$595,391 "
Nico Siragusa,G,-,0-,0-,"$314,690 "
Bronson Kaufusi,DE,-,0-,0-,"$211,254 "
Jermaine Eluemunor,G,-,0-,0-,"$133,576 "
Jaelon Acklin,WR,-,0-,0-,"$3,334 "
Alex Thompson,C,-,0-,0-,"$2,000 "
Tim White,WR,-,0-,0-,"$2,000 "
Bam Bradley,ILB,-,0-,0-,$668 
Jerry Hughes,DE,"$6,800,000","$1,000,000","$3,500,000","$12,950,000 "
Star Lotulelei,DT,"$7,150,000","$1,500,000","$2,600,000","$11,500,000 "
Mitch Morse,C,"$4,400,000","$3,687,500","$2,750,000","$10,937,500 "
LeSean McCoy,RB,"$6,175,000",0-,"$2,625,000","$9,050,000 "
Trent Murphy,OLB,"$5,800,000","$906,250","$1,750,000","$8,706,250 "
John Brown,WR,"$3,800,000","$2,000,000","$1,600,000","$7,500,000 "
Cole Beasley,WR,"$2,200,000","$3,000,000","$1,500,000","$6,900,000 "
Micah Hyde,SS,"$3,950,000","$968,750","$1,600,000","$6,618,750 "
Tyler Kroft,TE,"$1,800,000","$2,256,250","$800,000","$4,956,250 "
Josh Allen,QB,"$570,000","$872,865","$3,371,461","$4,814,326 "
Ty Nsekhe,RT,"$3,200,000",0-,"$1,500,000","$4,800,000 "
Jordan Phillips,DT,"$2,250,000",0-,"$2,000,000","$4,500,000 "
Jordan Poyer,FS,"$2,950,000","$150,000","$875,000","$4,325,000 "
Spencer Long,C,"$1,350,000","$2,387,500",0-,"$3,937,500 "
Lorenzo Alexander,OLB,"$2,000,000","$900,000","$600,000","$3,750,000 "
Ed Oliver,DT,"$495,000",0-,"$3,062,301","$3,557,301 "
Lee Smith,TE,"$1,900,000","$1,500,000",0-,"$3,500,000 "
